,a,temp
0,0.0,111180.03894340985
1,0.05,111212.93344861307
2,0.1,110808.05642033197
3,0.15000000000000002,110220.15445359111
4,0.2,109452.64783807998
5,0.25,108510.01986164581
6,0.30000000000000004,107397.77208720635
7,0.35000000000000003,105882.08411324638
8,0.4,104454.15524265225
9,0.45,102646.09017682313
10,0.5,100708.0326508041
11,0.55,98427.22114925284
12,0.6000000000000001,96048.16286962628
13,0.65,93582.75741736127
14,0.7000000000000001,91043.06962398425
15,0.75,88241.4192891304
16,0.8,85402.2800524292
17,0.8500000000000001,82351.52865033835
18,0.9,79300.8554018429
19,0.9500000000000001,76089.71111311251
20,1.0,72914.95452878813
21,1.05,69629.32303429987
22,1.1,66263.96402070597
23,1.1500000000000001,62990.65635523118
24,1.2000000000000002,59547.24451166755
25,1.25,56236.43872474083
26,1.3,52823.24251819711
27,1.35,49575.51882876768
28,1.4000000000000001,46284.14654086445
29,1.4500000000000002,43182.08463497512
30,1.5,40084.47012214202
31,1.55,37024.83446108315
32,1.6,34108.91491346775
33,1.6500000000000001,31343.187767116673
34,1.7000000000000002,28731.78560585783
35,1.75,26159.895082249037
36,1.8,23765.33098538476
37,1.85,21544.182611008437
38,1.9000000000000001,19447.82338408031
39,1.9500000000000002,17482.697191548952
40,2.0,15652.412568348936
41,2.0500000000000003,13989.25371628389
42,2.1,12454.122703605139
43,2.15,11044.97755414642
44,2.2,9780.190142321093
45,2.25,8627.938919778117
46,2.3000000000000003,7583.242806413341
47,2.35,6670.605666750849
48,2.4000000000000004,5832.973761962674
49,2.45,5104.923930310179
50,2.5,4461.4449405964315
51,2.5500000000000003,3884.4794470591805
52,2.6,3377.0718646508476
53,2.6500000000000004,2938.3058690639473
54,2.7,2552.510072490965
55,2.75,2213.6874499591318
56,2.8000000000000003,1921.1033683174737
57,2.85,1664.146601117081
58,2.9000000000000004,1442.296606257255
59,2.95,1250.5806565544838
60,3.0,1084.754296402861
61,3.0500000000000003,938.7881132018035
62,3.1,814.6794037177581
63,3.1500000000000004,707.0477601419519
64,3.2,613.628354531137
65,3.25,532.4811405189018
66,3.3000000000000003,461.94336543704657
67,3.35,401.7019174085534
68,3.4000000000000004,349.1519889302632
69,3.45,304.15576285136973
70,3.5,264.77079195269846
71,3.5500000000000003,230.96470388909017
72,3.6,201.2778264842351
73,3.6500000000000004,175.73800532559306
74,3.7,153.24151524497353
75,3.75,134.27324939999755
76,3.8000000000000003,117.09324465605543
77,3.85,102.59186320214909
78,3.9000000000000004,89.7127102922748
79,3.95,78.81540499630304
80,4.0,68.84111735164147
81,4.05,60.39402217025185
82,4.1000000000000005,53.02641715947896
83,4.15,46.41135977272797
84,4.2,40.63129421191492
85,4.25,35.570252024984086
86,4.3,31.129149987383233
87,4.3500000000000005,27.22310514167291
88,4.4,23.779177643593208
89,4.45,20.639531350796513
90,4.5,17.94754944600699
91,4.55,15.473529215583323
92,4.6000000000000005,13.267638889962733
93,4.65,11.35363603837964
94,4.7,9.561785151972488
95,4.75,7.9277196722160905
96,4.800000000000001,6.415679635489589
97,4.8500000000000005,4.983705907007806
98,4.9,3.569882460215138
99,4.95,2.0015712092484614
